Gm#,Date,boxscore,Tm,@,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
142,Wednesday Sep 14,boxscore,ARI,,LAD,W-wo,5,3,10,67-75,4,31.0,Moronta,Kimbrel,,3:18,N,22971,.00,+,
143,Thursday Sep 15,boxscore,ARI,,SDP,W,4,0,,68-75,4,30.5,Jameson,Manaea,,2:38,N,17121,.00,++,
144,Friday Sep 16,boxscore,ARI,,SDP,L,3,12,,68-76,4,31.5,Snell,Bumgarner,,2:58,N,19945,.00,-,
145,Saturday Sep 17,boxscore,ARI,,SDP,L,0,2,,68-77,4,32.5,Musgrove,Gallen,Hader,2:51,N,29796,.00,--,
146,Sunday Sep 18,boxscore,ARI,,SDP,L,1,6,,68-78,4,33.5,Darvish,Nelson,,3:03,D,20480,.00,---,
147,Monday Sep 19,boxscore,ARI,@,LAD,L,2,5,,68-79,4,34.5,Kershaw,Kelly,,2:46,N,44854,.00,----,
148,Tuesday Sep 20 (1),boxscore,ARI,@,LAD,L,5,6,,68-80,4,34.5,Pepiot,Ginkel,Martin,3:30,D,38902,.00,-----,
149,Tuesday Sep 20 (2),boxscore,ARI,@,LAD,W,5,2,,69-80,4,34.5,Jameson,Anderson,Moronta,2:49,N,43097,.00,+,
150,Wednesday Sep 21,boxscore,ARI,@,LAD,W,6,1,,70-80,4,33.5,Bumgarner,May,,2:53,N,38845,.00,++,
151,Thursday Sep 22,boxscore,ARI,@,LAD,L-wo,2,3,,70-81,4,34.5,Kimbrel,Moronta,,3:05,N,47907,.00,-,
152,Friday Sep 23,boxscore,ARI,,SFG,L,5,6,,70-82,4,34.5,Young,Smith,Doval,3:37,N,25949,.00,--,
153,Saturday Sep 24,boxscore,ARI,,SFG,W,5,2,,71-82,4,34.5,Kelly,Cobb,Moronta,2:37,N,24504,.00,+,
154,Sunday Sep 25,boxscore,ARI,,SFG,L,2,3,,71-83,4,35.5,Junis,Frías,Doval,3:19,D,25389,.00,-,
155,Tuesday Sep 27,boxscore,ARI,@,HOU,L,2,10,,71-84,4,35.5,Garcia,Davies,,3:28,N,37480,.00,--,
156,Wednesday Sep 28,boxscore,ARI,@,HOU,W,5,2,10,72-84,4,35.5,Moronta,Smith,Melancon,3:29,N,35670,.00,+,
157,Friday Sep 30,boxscore,ARI,@,SFG,L,4,10,,72-85,4,37.0,Cobb,Kelly,,2:59,N,28478,.00,-,
158,Saturday Oct 1,boxscore,ARI,@,SFG,W,8,4,,73-85,4,37.0,Jameson,Junis,,3:10,D,30630,.00,+,
159,Sunday Oct 2,boxscore,ARI,@,SFG,L-wo,3,4,10,73-86,4,37.0,Cotton,Widener,,3:36,D,34824,.00,-,
160,Monday Oct 3,boxscore,ARI,@,MIL,L-wo,5,6,10,73-87,4,37.0,Boxberger,Moronta,,3:19,N,18612,.00,--,
161,Tuesday Oct 4,boxscore,ARI,@,MIL,L,0,3,,73-88,4,37.0,Lauer,Gallen,Strzelecki,3:02,N,19611,.00,---,
162,Wednesday Oct 5,boxscore,ARI,@,MIL,W,4,2,,74-88,4,37.0,Poppen,Gott,Ginkel,2:43,D,18765,.00,+,
