Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
148,Tuesday Sep 20,boxscore,SFG,@,COL,W,6,3,,71-77,3,32.0,Rogers,Freeland,García,3:07,N,23942,.00,++,
149,Wednesday Sep 21,boxscore,SFG,@,COL,W,6,1,,72-77,3,31.0,Webb,Márquez,,2:39,N,23293,.00,+++,
150,Thursday Sep 22,boxscore,SFG,@,COL,W,3,0,,73-77,3,31.0,Cotton,Ureña,Doval,3:02,D,25669,.00,++++,
151,Friday Sep 23,boxscore,SFG,@,ARI,W,6,5,,74-77,3,30.0,Young,Smith,Doval,3:37,N,25949,.00,+++++,
152,Saturday Sep 24,boxscore,SFG,@,ARI,L,2,5,,74-78,3,31.0,Kelly,Cobb,Moronta,2:37,N,24504,.00,-,
153,Sunday Sep 25,boxscore,SFG,@,ARI,W,3,2,,75-78,3,31.0,Junis,Frías,Doval,3:19,D,25389,.00,+,
154,Tuesday Sep 27,boxscore,SFG,,COL,W,5,2,,76-78,3,30.0,Webb,Márquez,,2:33,N,24218,.00,++,
155,Wednesday Sep 28,boxscore,SFG,,COL,W,6,3,,77-78,3,30.0,Hjelle,Ureña,,3:19,N,22663,.00,+++,
156,Thursday Sep 29,boxscore,SFG,,COL,W,6,4,,78-78,3,30.0,Rodón,Feltner,Doval,2:57,N,24112,.00,++++,
157,Friday Sep 30,boxscore,SFG,,ARI,W,10,4,,79-78,3,30.0,Cobb,Kelly,,2:59,N,28478,.00,+++++,
158,Saturday Oct 1,boxscore,SFG,,ARI,L,4,8,,79-79,3,31.0,Jameson,Junis,,3:10,D,30630,.00,-,
159,Sunday Oct 2,boxscore,SFG,,ARI,W-wo,4,3,10,80-79,3,30.0,Cotton,Widener,,3:36,D,34824,.00,+,
160,Monday Oct 3,boxscore,SFG,@,SDP,L,4,7,,80-80,3,30.0,Morejón,Miller,Hader,3:12,N,31687,.00,-,
161,Tuesday Oct 4,boxscore,SFG,@,SDP,L,2,6,,80-81,3,30.0,Manaea,Cobb,,2:44,N,32884,.00,--,
162,Wednesday Oct 5,boxscore,SFG,@,SDP,W,8,1,,81-81,3,30.0,Marte,Stammen,,3:07,D,32064,.00,+,
