Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
149,Wednesday Sep 21,boxscore,LAA,@,TEX,L,2,7,,65-84,3,33.5,Dunning,Davidson,,2:35,N,20959,.00,-,
150,Thursday Sep 22,boxscore,LAA,@,TEX,L,3,5,,65-85,4,33.5,Moore,Quijada,Leclerc,2:49,D,16223,.00,--,
151,Friday Sep 23,boxscore,LAA,@,MIN,W,4,2,,66-85,3,32.5,Ohtani,Varland,Tepera,3:21,N,24896,.00,+,
152,Saturday Sep 24,boxscore,LAA,@,MIN,L,4,8,,66-86,3,33.5,Jax,Detmers,,2:49,N,30959,.00,-,
153,Sunday Sep 25,boxscore,LAA,@,MIN,W,10,3,,67-86,3,33.5,Suarez,Bundy,,3:47,D,24133,.00,+,
154,Tuesday Sep 27,boxscore,LAA,,OAK,W,4,3,,68-86,3,33.5,Tepera,Puk,Herget,3:14,N,19374,.00,++,
155,Wednesday Sep 28,boxscore,LAA,,OAK,W,4,1,,69-86,3,32.5,Lorenzen,Martinez,Herget,3:23,N,23573,.00,+++,
156,Thursday Sep 29,boxscore,LAA,,OAK,W,4,2,,70-86,3,32.0,Ohtani,Irvin,Tepera,3:07,N,31293,.00,++++,
157,Friday Sep 30,boxscore,LAA,,TEX,W,4,1,,71-86,3,31.0,Detmers,Otto,Herget,2:35,N,32939,.00,+++++,
158,Saturday Oct 1,boxscore,LAA,,TEX,W,3,2,,72-86,3,31.0,Suarez,Hernández,Tepera,2:27,N,32472,.00,++++++,
159,Sunday Oct 2,boxscore,LAA,,TEX,W,8,3,,73-86,3,31.0,Barria,Miller,,2:50,D,26041,.00,+++++++,
160,Monday Oct 3,boxscore,LAA,@,OAK,L-wo,4,5,10,73-87,3,31.0,Acevedo,Weiss,,3:49,N,6978,.00,-,
161,Tuesday Oct 4,boxscore,LAA,@,OAK,L-wo,1,2,10,73-88,3,32.0,Puk,Tepera,,3:07,N,8189,.00,--,
162,Wednesday Oct 5,boxscore,LAA,@,OAK,L,2,3,,73-89,3,33.0,Waldichuk,Ohtani,Snead,2:44,D,11232,.00,---,
