Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
140,Saturday Sep 10,boxscore,WSN,@,PHI,L,5,8,,49-91,5,39.0,Suárez,Fedde,,3:15,N,37185,.00,--,
141,Sunday Sep 11,boxscore,WSN,@,PHI,L,5,7,,49-92,5,40.0,Alvarado,Finnegan,Robertson,3:29,D,23802,.00,---,
142,Tuesday Sep 13,boxscore,WSN,,BAL,L,3,4,,49-93,5,39.5,Kremer,Harvey,Bautista,3:18,N,31679,.00,----,
143,Wednesday Sep 14,boxscore,WSN,,BAL,L,2,6,,49-94,5,39.5,Voth,Thompson,,2:53,N,32497,.00,-----,
144,Friday Sep 16,boxscore,WSN,,MIA,W,5,4,,50-94,5,40.0,Edwards,Sulser,Finnegan,3:00,N,24931,.00,+,
145,Saturday Sep 17,boxscore,WSN,,MIA,W,5,3,,51-94,5,40.0,Harvey,Brigham,Finnegan,3:02,D,34179,.00,++,
146,Sunday Sep 18,boxscore,WSN,,MIA,L,1,3,,51-95,5,41.0,Alcantara,Sánchez,,2:27,D,31638,.00,-,
147,Monday Sep 19,boxscore,WSN,@,ATL,L,2,5,,51-96,5,42.0,Wright,Abbott,Jansen,2:46,N,33443,.00,--,
148,Tuesday Sep 20,boxscore,WSN,@,ATL,L,2,3,,51-97,5,43.0,Morton,Ramírez,Jansen,3:18,N,40224,.00,---,
149,Wednesday Sep 21,boxscore,WSN,@,ATL,W,3,2,,52-97,5,42.0,Machado,Chavez,Finnegan,3:13,D,37240,.00,+,
150,Friday Sep 23,boxscore,WSN,@,MIA,L,2,5,,52-98,5,43.0,Garrett,Gray,Floro,2:41,N,12240,.00,-,
151,Saturday Sep 24,boxscore,WSN,@,MIA,L,1,4,,52-99,5,43.0,Alcantara,Fedde,Floro,2:18,N,16099,.00,--,
152,Sunday Sep 25,boxscore,WSN,@,MIA,W,6,1,,53-99,5,43.0,Sánchez,Cabrera,,3:09,D,13042,.00,+,
153,Monday Sep 26,boxscore,WSN,,ATL,L,0,8,,53-100,5,43.5,Elder,Abbott,,2:24,N,24684,.00,-,
154,Tuesday Sep 27,boxscore,WSN,,ATL,L,2,8,,53-101,5,43.5,McHugh,Espino,,2:47,N,23281,.00,--,
155,Wednesday Sep 28,boxscore,WSN,,ATL,W-wo,3,2,10,54-101,5,43.5,Finnegan,Stephens,,3:13,N,24876,.00,+,
156,Friday Sep 30,boxscore,WSN,,PHI,L,1,5,,54-102,5,43.5,Falter,Fedde,,3:17,D,24682,,-,
157,Saturday Oct 1 (1),boxscore,WSN,,PHI,W,13,4,,55-102,5,44.0,Sánchez,Gibson,,2:58,D,29808,.00,+,
158,Saturday Oct 1 (2),boxscore,WSN,,PHI,L,2,8,,55-103,5,44.0,Syndergaard,Romero,Sánchez,2:49,N,36841,.00,-,
159,Sunday Oct 2,boxscore,WSN,,PHI,L,1,8,6,55-104,5,45.0,Wheeler,Corbin,,2:20,D,32779,.00,--,
160,Tuesday Oct 4 (1),boxscore,WSN,@,NYM,L,2,4,,55-105,5,46.0,Ottavino,Abbott,Díaz,3:12,N,,.00,---,2022-10-03 ()
161,Tuesday Oct 4 (2),boxscore,WSN,@,NYM,L,0,8,,55-106,5,46.0,Nogosek,Espino,,3:09,N,23649,.00,----,
162,Wednesday Oct 5,boxscore,WSN,@,NYM,L,2,9,,55-107,5,46.0,Williams,Fedde,,2:44,D,27298,.00,-----,
